  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
   215       1   4.01250843e-02   1.55416674e-03
   215       2   1.54612741e-07   8.27080063e-04
   216       1   5.40770195e-02   5.73517741e-03
   216       2   8.08202972e-08   3.74039775e-04
   217       1   6.41097049e-02   8.51924355e-03
   217       2   1.35543236e-07   7.45668181e-04
   218       1   7.51372575e-02   1.04465146e-02
   218       2   1.55011177e-07   8.75429398e-04
   219       1   8.37624716e-02   1.37189778e-02
   219       2   1.00713830e-07   2.92795895e-04
   220       1   8.57550537e-02   1.69596199e-02
   220       2   1.13437924e-07   2.43755413e-04
   221       1   8.77430725e-02   1.85120029e-02
   221       2   1.74759962e-07   7.92467673e-04
   222       1   9.02042941e-02   2.05949827e-02
   222       2   3.64552212e-08   5.98010840e-04
   223       1   8.88134386e-02   2.38994539e-02
   223       2   5.88263726e-08   5.81673662e-05
   224       1   8.42667752e-02   2.58685576e-02
   224       2   9.56975290e-08   4.44191300e-04
   225       1   8.04299003e-02   2.63725379e-02
   225       2   1.39144919e-07   6.52951779e-04
   226       1   7.60979311e-02   2.76647925e-02
   226       2   6.06583827e-08   1.27914133e-04
   227       1   6.92259424e-02   2.88245150e-02
   227       2   2.83067463e-08   2.94686076e-04
   228       1   6.33902411e-02   2.79398774e-02
   228       2   3.37616857e-08   3.93669309e-04
   229       1   5.91664401e-02   2.69279926e-02
   229       2   6.46579831e-08   9.47697062e-05
   230       1   5.44312412e-02   2.71150722e-02
   230       2   3.56932175e-08   6.65592119e-04
   231       1   4.86729436e-02   2.64644817e-02
   231       2   1.12004892e-07   2.35947807e-04
   232       1   4.42782756e-02   2.44163928e-02
   232       2   7.82001851e-08   2.22930277e-04
   233       1   4.02417861e-02   2.32428161e-02
   233       2   8.13961682e-08   6.04871885e-04
   234       1   3.41775594e-02   2.24458125e-02
   234       2   5.58432796e-08   6.67684586e-04
   235       1   2.78763213e-02   1.97199120e-02
   235       2   9.75245969e-08   1.73583260e-04
   236       1   2.28387986e-02   1.63630489e-02
   236       2   6.02390779e-08   1.32698167e-04
   237       1   1.78835181e-02   1.41655371e-02
   237       2   8.37347923e-08   6.73044266e-04
   238       1   1.21828066e-02   1.15587311e-02
   238       2   3.91261191e-08   2.37289497e-04
   239       1   7.44288617e-03   7.63327139e-03
   239       2   9.10754583e-08   2.91342976e-04
   240       1   3.60166533e-03   4.67162366e-03
   241       1   3.12740217e-03   2.02193550e-03
   242       1   8.11517074e-03   3.33334025e-03
   242       2   7.78406972e-07   1.26550805e-03
   243       1   1.22687419e-02   4.35910059e-03
   243       2   1.13450031e-07   3.42879325e-04
   244       1   1.71127132e-02   7.32477912e-03
   244       2   1.10375240e-07   4.61864312e-04
   245       1   2.33434794e-02   9.62654966e-03
   245       2   3.51643744e-08   2.17083117e-04
   246       1   2.94230207e-02   1.34312751e-02
   246       2   1.19607632e-07   4.35091883e-04
   247       1   3.37627020e-02   1.66673288e-02
   247       2   6.07442062e-08   1.40405225e-04
   248       1   3.87659805e-02   1.81832970e-02
   248       2   1.04119980e-07   7.28821781e-04
   249       1   4.42652511e-02   2.02724354e-02
   249       2   1.06532570e-07   1.97108542e-04
   250       1   4.82956652e-02   2.28461225e-02
   250       2   2.81917561e-08   1.63659032e-04
   251       1   5.22538018e-02   2.36815700e-02
   251       2   6.67938828e-08   4.30913982e-04
   252       1   5.79413917e-02   2.39150399e-02
   252       2   6.89806041e-08   5.79429412e-04
   253       1   6.37679591e-02   2.54253358e-02
   253       2   1.16581058e-07   1.53366050e-04
