  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
   233       2   6.95737534e-06   2.18835131e-03
   234       1   3.15753233e-02   2.03960390e-02
   234       2   2.55186554e-06   9.09611560e-04
   235       1   2.33575226e-02   1.55445031e-02
   235       2   3.64922415e-06   2.37864931e-03
   236       1   1.80883348e-02   1.40320754e-02
   236       2   3.73268713e-06   7.07135650e-04
   237       1   1.43938573e-02   1.26479307e-02
   237       2   3.88277398e-06   1.34186149e-03
   238       1   1.17454561e-02   5.48487147e-03
   238       2   1.12318750e-05   4.62730722e-03
   239       1   6.71230112e-03   3.47690826e-03
   239       2   4.89091310e-06   2.83197777e-03
   240       1   4.10403901e-03   2.05194264e-03
   241       1   8.95581602e-03   2.66615377e-03
   241       2   4.73668789e-05   8.77550123e-03
   241       3   3.61365320e-05   7.89922457e-03
   241       4   2.66678167e-05   9.56593747e-03
   241       5   2.92449739e-05   7.52016937e-03
   241       6   1.63724205e-05   4.89086755e-03
   242       1   1.48450518e-02   1.06988065e-02
   242       2   9.66699254e-06   4.20967334e-03
   243       1   1.77628437e-02   1.05577508e-02
   243       2   8.27005661e-06   1.24614794e-03
   244       1   2.18639308e-02   9.56227236e-03
   244       2   1.18057325e-05   1.54390119e-03
   245       1   2.99439781e-02   1.37598025e-02
   245       2   1.32873174e-05   1.57264598e-03
   246       1   3.77674585e-02   1.90799597e-02
   246       2   2.16404100e-05   1.91111892e-03
   247       1   4.19626953e-02   2.05080154e-02
   247       2   2.49710487e-05   8.04116918e-04
   248       1   4.63340022e-02   2.24161199e-02
   248       2   1.11982400e-05   9.93550892e-04
   249       1   5.06288597e-02   2.74073576e-02
   249       2   1.81034863e-05   7.22862609e-04
   250       1   5.29064217e-02   2.78752339e-02
   250       2   3.10324147e-05   5.45033505e-04
   251       1   5.67293554e-02   2.48742832e-02
   251       2   1.20529283e-06   3.01961922e-04
   252       1   6.27391257e-02   2.54816110e-02
   252       2   1.74346197e-05   9.19324082e-04
   253       1   6.84858347e-02   2.68993754e-02
   253       2   1.33672354e-05   5.27528127e-04
   254       1   7.32470333e-02   2.46678276e-02
   254       2   1.38585654e-05   8.06126498e-04
   255       1   8.11650723e-02   2.40555469e-02
   255       2   1.67407650e-06   1.04257188e-03
   256       1   8.98941799e-02   2.71588337e-02
   256       2   2.65617329e-06   1.08235388e-03
   257       1   8.84882664e-02   2.78244706e-02
   257       2   4.10668023e-06   7.99872587e-04
   258       1   8.28085134e-02   2.38573097e-02
   258       2   7.87652425e-06   1.05913824e-03
   259       1   8.09743801e-02   2.21267207e-02
   259       2   8.28488603e-06   1.00160252e-03
   260       1   7.93893980e-02   2.16155420e-02
   260       2   1.50182405e-05   1.44627593e-03
   261       1   7.13371324e-02   1.58530322e-02
   261       2   1.08196587e-05   5.83555720e-04
   262       1   6.21816077e-02   1.07057086e-02
   262       2   5.32256765e-06   1.01697120e-03
   263       1   5.95671984e-02   9.89354285e-03
   263       2   7.79743032e-06   6.68165994e-04
   264       1   5.55405505e-02   9.72814641e-03
   264       2   7.87573002e-06   3.46790292e-04
   265       1   4.60310439e-02   7.57216936e-03
